Name,pitch,length,intensity,slope,duration
StewartBrand_2006_40,59.47,0.24,96.69,-1.5621,2.2104
StewartBrand_2006_20,60.52,0.45,198.5,-1.511,1.682
StewartBrand_2006_27,62.98,0.13,91.52,-1.5565,1.5589
StewartBrand_2006_143,64.1,0.41,280.54,-1.53,1.6164
StewartBrand_2006_38,64.26,0.74,89.94,-1.7914,2.2294
StewartBrand_2006_39,64.26,0.74,89.94,-1.7914,2.2294
StewartBrand_2006_47,64.71,0.15,84.39,-1.8808,1.2216
StewartBrand_2006_164,64.86,0.33,166.29,-1.6682,1.9257
StewartBrand_2006_72,65.01,0.68,82.83,-1.8193,2.4199
StewartBrand_2006_134,65.45,0.19,147.52,-1.6845,1.8445
StewartBrand_2006_171,65.7,0.61,95.14,-1.8582,2.3177
StewartBrand_2006_168,66.34,0.13,273.94,-1.1012,1.1356
StewartBrand_2006_69,66.77,0.56,171.19,-1.4393,1.623
StewartBrand_2006_203,67.24,0.21,96.21,-1.3487,1.9822
StewartBrand_2006_53,67.38,0.17,94.18,-1.6261,1.9418
StewartBrand_2006_217,67.65,0.74,97.19,-1.4137,1.777
StewartBrand_2006_181,67.99,0.54,86.31,-1.8212,2.2076
StewartBrand_2006_142,68.83,0.74,93.16,-1.279,1.4108
StewartBrand_2006_34,69.35,0.31,95.59,-1.6067,2.1635
StewartBrand_2006_51,69.57,0.25,87.7,-1.7776,1.9132
StewartBrand_2006_179,69.76,0.6,95.63,-1.7667,2.3103
StewartBrand_2006_103,70.07,0.41,153.29,-1.421,1.6837
StewartBrand_2006_28,70.17,0.73,91.03,-1.5397,2.0848
StewartBrand_2006_65,70.19,0.26,94.65,-1.5978,2.1752
StewartBrand_2006_52,70.27,0.3,92.61,-1.6231,2.2663
StewartBrand_2006_149,70.38,0.14,267.49,-1.0115,1.1096
StewartBrand_2006_163,70.76,0.53,78.2,-1.8435,2.5903
StewartBrand_2006_208,70.85,0.39,86.62,-1.7232,2.0556
StewartBrand_2006_169,71.07,0.64,92.69,-1.4998,1.3623
StewartBrand_2006_191,71.7,0.51,97.07,-1.682,1.4106
StewartBrand_2006_151,71.75,0.48,220.66,-1.6913,1.8027
StewartBrand_2006_62,71.92,0.78,162.43,-1.4599,1.9364
StewartBrand_2006_84,71.92,0.4,181.2,-2.0098,1.9632
StewartBrand_2006_202,72.23,0.39,82.91,-1.2221,1.7404
StewartBrand_2006_159_1,72.32,0.16,77.82,-1.7353,1.5666
